City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,wajima,JP,37.4,136.9,40.3,73,100,11.68,overcast clouds
140,bontang,ID,0.1333,117.5,75.16,94,100,4.12,light rain
141,victoria,HK,22.2855,114.1577,64.94,85,100,3.0,overcast clouds
142,blois,FR,47.5833,1.3333,50.38,92,54,10.58,broken clouds
143,aden,YE,12.7794,45.0367,76.6,69,11,18.05,few clouds
144,sao filipe,CV,14.8961,-24.4956,76.68,60,66,3.94,broken clouds
145,kruisfontein,ZA,-34.0033,24.7314,61.97,83,0,4.79,clear sky
146,pochutla,MX,15.7432,-96.4661,85.82,48,79,7.92,broken clouds
147,fortuna,US,40.5982,-124.1573,66.97,53,0,0.0,clear sky
148,san cristobal,VE,7.7669,-72.225,80.91,52,77,4.25,broken clouds
149,clyde river,CA,70.4692,-68.5914,-19.97,76,75,21.85,light snow
150,arraial do cabo,BR,-22.9661,-42.0278,69.39,92,100,5.14,overcast clouds
151,verkhnyaya toyma,RU,62.2349,44.9985,21.45,96,100,5.37,light snow
152,aswan,EG,24.0934,32.907,60.01,35,0,15.3,clear sky
153,holoby,UA,51.0865,25.0077,43.05,94,100,16.08,overcast clouds
154,provideniya,RU,64.3833,-173.3,-0.29,60,0,17.9,clear sky
155,omboue,GA,-1.5746,9.2618,78.51,85,100,2.04,moderate rain
156,duobao,CN,30.67,112.6895,35.37,91,5,2.91,clear sky
157,novikovo,RU,51.1537,37.8879,28.71,97,99,5.23,overcast clouds
158,minab,IR,27.1467,57.0801,58.5,53,0,2.01,clear sky
159,singaraja,ID,-8.112,115.0882,77.97,80,100,1.45,moderate rain
160,aki,JP,33.5,133.9,44.71,89,100,2.89,overcast clouds
161,namibe,AO,-15.1961,12.1522,74.88,75,100,10.31,overcast clouds
162,salalah,OM,17.0151,54.0924,67.23,31,0,9.35,clear sky
163,wete,TZ,-5.0559,39.7294,79.18,80,100,11.72,overcast clouds
164,ewa beach,US,21.3156,-158.0072,80.1,58,75,10.0,broken clouds
165,auki,SB,-8.7676,160.7034,80.13,85,96,9.64,overcast clouds
166,sobolevo,RU,54.4299,31.8996,31.37,91,100,10.98,overcast clouds
167,doha,QA,25.2867,51.5333,60.78,63,0,5.75,clear sky
168,zemio,CF,5.0314,25.1361,76.46,28,76,1.52,broken clouds
169,tura,IN,25.5198,90.2201,56.16,66,3,3.18,clear sky
170,kamenka,RU,51.3223,42.7678,29.75,96,100,11.34,overcast clouds
171,beni suef,EG,29.0731,31.0979,50.9,57,1,8.72,clear sky
172,kirakira,SB,-10.4544,161.9205,80.51,86,100,9.06,overcast clouds
173,napier,NZ,-39.4833,176.9167,79.25,84,9,1.99,clear sky
174,ellensburg,US,46.9965,-120.5479,56.3,67,38,4.0,scattered clouds
175,mabaruma,GY,8.2,-59.7833,79.45,69,61,5.66,broken clouds
176,lavrentiya,RU,65.5833,-171.0,-25.01,93,61,7.78,broken clouds
177,san juan,AR,-31.5375,-68.5364,96.67,14,1,8.97,light rain
178,hauterive,FR,46.0901,3.4459,48.96,68,38,3.85,scattered clouds
179,viedma,AR,-40.8135,-62.9967,76.77,54,94,14.45,light rain
180,calama,CL,-22.4667,-68.9333,73.89,16,0,23.02,clear sky
181,dunedin,NZ,-45.8742,170.5036,59.79,98,100,8.66,overcast clouds
182,pittsfield,US,42.4501,-73.2454,43.43,59,0,3.44,clear sky
183,marawi,PH,7.9986,124.2928,65.64,95,100,1.81,overcast clouds
184,valparaiso,CL,-33.0393,-71.6273,67.64,74,40,13.8,scattered clouds
185,itarema,BR,-2.9248,-39.9167,80.8,73,26,11.59,scattered clouds
186,longyearbyen,SJ,78.2186,15.6401,12.04,79,75,8.05,light snow
187,lanzhou,CN,36.0564,103.7922,16.88,83,83,0.16,broken clouds
188,poya,NC,-21.35,165.15,79.99,93,100,12.46,light rain
189,abu samrah,SY,35.3029,37.1841,47.75,80,95,9.95,overcast clouds
190,nelson bay,AU,-32.7167,152.15,69.01,94,1,3.18,clear sky
191,pafos,CY,34.7667,32.4167,46.31,76,20,6.91,few clouds
192,senanga,ZM,-16.1167,23.2667,67.8,93,99,3.24,moderate rain
193,vanavara,RU,60.34,102.2797,-27.09,100,70,2.8,broken clouds
194,marly,FR,50.3456,3.5496,46.47,83,88,6.58,overcast clouds
195,rockhampton,AU,-23.3833,150.5,71.49,83,0,3.44,clear sky
196,ovre ardal,NO,61.3167,7.8,31.08,96,100,12.64,light snow
197,antofagasta,CL,-23.65,-70.4,72.21,64,38,6.69,scattered clouds
198,port hardy,CA,50.6996,-127.4199,47.75,93,100,8.05,overcast clouds
199,pevek,RU,69.7008,170.3133,-32.75,100,100,5.17,overcast clouds
200,chuy,UY,-33.6971,-53.4616,72.3,60,46,11.03,scattered clouds
201,usinsk,RU,65.9939,57.5281,3.42,84,6,11.74,clear sky
202,khatanga,RU,71.9667,102.5,-3.26,94,100,14.05,overcast clouds
203,cabo san lucas,MX,22.8909,-109.9124,82.51,44,20,7.0,few clouds
204,dongsheng,CN,39.8161,109.9776,18.55,62,0,9.48,clear sky
205,banepa,NP,27.6298,85.5214,46.72,87,75,3.44,broken clouds
206,roccastrada,IT,43.0099,11.1665,45.59,90,0,2.39,clear sky
207,yeniseysk,RU,58.4497,92.1703,-23.66,100,43,0.45,scattered clouds
208,nizhniy kuranakh,RU,58.8353,125.4869,-22.65,99,99,2.19,overcast clouds
209,svetlaya,RU,46.5389,138.3297,12.47,74,21,5.79,few clouds
210,mar del plata,AR,-38.0023,-57.5575,73.42,69,0,13.8,clear sky
211,grand gaube,MU,-20.0064,57.6608,74.37,78,8,4.0,clear sky
212,hami,CN,42.8,93.45,26.37,38,100,1.9,overcast clouds
213,otavi,NA,-19.65,17.3333,68.49,70,70,6.33,broken clouds
214,hienghene,NC,-20.6833,164.9333,79.38,88,100,10.07,overcast clouds
215,acarau,BR,-2.8856,-40.12,81.12,73,40,12.95,scattered clouds
216,puerto de la cruz,ES,28.414,-16.5487,75.34,33,100,1.79,overcast clouds
217,wejherowo,PL,54.6057,18.2356,45.84,96,95,8.99,overcast clouds
218,matara,LK,5.9485,80.5353,75.34,84,88,4.74,overcast clouds
219,matamoros,MX,25.5333,-103.25,66.31,20,0,3.44,clear sky
220,kharp,RU,66.8014,65.8081,-3.12,100,100,1.92,overcast clouds
221,margate,GB,51.3813,1.3862,49.03,86,91,5.01,overcast clouds
222,whitehorse,CA,60.7161,-135.0538,40.1,69,8,18.99,clear sky
223,anamur,TR,36.0751,32.8369,42.82,64,86,7.85,overcast clouds
224,sinnamary,GF,5.3833,-52.95,77.88,84,31,10.54,scattered clouds
225,teahupoo,PF,-17.8333,-149.2667,78.76,76,28,17.02,scattered clouds
226,bilma,NE,18.6853,12.9164,65.95,10,0,11.45,clear sky
227,codrington,AU,-38.2667,141.9667,60.82,74,73,7.4,broken clouds
228,guerrero negro,MX,27.9769,-114.0611,72.77,24,61,7.81,broken clouds
229,muravlenko,RU,63.7898,74.523,-10.07,95,23,10.33,few clouds
230,hutchinson,US,38.0608,-97.9298,61.83,21,0,14.97,clear sky
231,chunoyar,RU,57.4467,97.3217,-22.99,100,13,1.48,few clouds
232,kushima,JP,31.4583,131.2333,45.23,91,100,5.46,overcast clouds
233,jimma,ET,7.6667,36.8333,68.25,53,90,2.93,overcast clouds
234,letlhakane,BW,-21.4167,25.5833,83.12,33,79,8.41,broken clouds
235,hay river,CA,60.8156,-115.7999,1.0,93,100,11.5,overcast clouds
236,esperance,AU,-33.8667,121.9,60.64,88,21,8.5,few clouds
237,saint-joseph,RE,-21.3667,55.6167,71.98,81,81,5.93,broken clouds
238,broome,US,42.2506,-75.833,45.18,54,0,12.66,clear sky
239,lompoc,US,34.6391,-120.4579,88.7,19,0,11.5,clear sky
240,nouadhibou,MR,20.931,-17.0347,69.13,63,63,11.34,broken clouds
241,cobourg,DE,50.2667,10.9667,46.29,89,100,1.01,overcast clouds
242,asau,RO,46.4333,26.4,38.32,89,18,6.76,few clouds
243,nikolayevka,RU,53.1257,47.2041,26.47,95,100,12.57,snow
244,gore,NZ,-46.1028,168.9436,59.23,98,100,0.81,overcast clouds
245,sanarate,GT,14.795,-90.1922,82.71,51,97,6.31,overcast clouds
246,san patricio,US,28.017,-97.5169,75.29,28,1,2.33,clear sky
247,sarlat-la-caneda,FR,44.889,1.2166,46.54,91,34,3.58,scattered clouds
248,chokurdakh,RU,70.6333,147.9167,-32.06,99,90,10.25,overcast clouds
249,nemencine,LT,54.85,25.4833,39.72,97,100,15.1,overcast clouds
250,alekseyevsk,RU,57.8406,108.3492,-24.21,100,96,1.05,overcast clouds
251,madimba,TZ,-10.4,40.3333,79.14,83,100,9.1,overcast clouds
252,isangel,VU,-19.55,169.2667,78.55,97,100,34.11,moderate rain
253,kavieng,PG,-2.5744,150.7967,81.25,79,71,5.97,light rain
254,haverfordwest,GB,51.8017,-4.9691,48.54,89,100,8.16,overcast clouds
255,arvika,SE,59.6553,12.5852,36.21,68,1,14.03,clear sky
256,tucurui,BR,-3.7661,-49.6725,79.52,87,72,2.91,broken clouds
257,oyem,GA,1.5995,11.5793,73.35,78,90,4.21,overcast clouds
258,hasaki,JP,35.7333,140.8333,39.6,61,100,14.99,light rain
259,tizimin,MX,21.15,-88.15,76.35,57,85,11.39,overcast clouds
260,san vicente,AR,-26.6167,-54.1333,88.39,18,3,2.53,clear sky
261,bambous virieux,MU,-20.3428,57.7575,74.21,75,59,7.61,broken clouds
262,along,IN,28.1667,94.7667,51.67,94,99,2.15,overcast clouds
263,nikolskoye,RU,59.7035,30.7861,35.71,89,100,9.46,light snow
264,papayal,PE,-4.0761,-80.7361,83.46,53,99,10.2,overcast clouds
265,bintulu,MY,3.1667,113.0333,75.7,93,100,4.05,overcast clouds
266,byron bay,AU,-28.65,153.6167,70.88,78,5,6.02,clear sky
267,saint george,US,37.1041,-113.5841,67.62,16,0,8.05,clear sky
268,bud,US,39.447,-86.1758,48.45,55,96,12.12,overcast clouds
269,baijiantan,CN,45.6333,85.1833,12.56,95,100,2.93,light snow
270,impfondo,CG,1.6381,18.0667,77.27,32,64,1.25,broken clouds
271,buriti dos lopes,BR,-3.175,-41.8669,83.95,94,78,4.65,broken clouds
272,shasta lake,US,40.6804,-122.3708,78.93,24,16,5.01,few clouds
273,sambava,MG,-14.2667,50.1667,76.35,91,80,4.76,moderate rain
274,three hills,CA,51.7001,-113.2686,34.7,94,75,4.92,broken clouds
275,asosa,ET,10.0667,34.5333,69.42,33,17,3.96,few clouds
276,tahoua,NE,14.8888,5.2692,73.92,10,0,11.72,clear sky
277,linhares,BR,-19.3911,-40.0722,77.88,83,40,6.51,scattered clouds
278,verkhnyaya inta,RU,65.9811,60.3094,14.74,70,0,20.27,clear sky
279,kilemary,RU,56.7783,46.8659,23.81,98,100,1.16,light snow
280,pravia,ES,43.4906,-6.1508,53.47,81,0,4.61,clear sky
281,tres arroyos,AR,-38.3739,-60.2798,82.83,31,2,11.48,clear sky
282,kushmurun,KZ,52.4503,64.6311,12.65,96,96,3.67,overcast clouds
283,ahipara,NZ,-35.1667,173.1667,74.61,84,89,10.4,overcast clouds
284,batticaloa,LK,7.7102,81.6924,76.66,81,100,5.14,overcast clouds
