City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
362,araguaina,BR,79.59,-7.1911,-48.2072,heavy intensity rain,Hotel São Vicente
365,dolores,AR,77.07,-36.3132,-57.6792,clear sky,Apart Hotel - Arianos
366,sao miguel do araguaia,BR,75.76,-13.275,-50.1628,overcast clouds,Hotel Executivo Palace
367,hambantota,LK,75.02,6.1241,81.1185,overcast clouds,Bungalow 63
371,moerai,PF,79.39,-22.4333,-151.3333,light rain,Le Manotel
376,parakou,BJ,81.75,9.3372,2.6303,few clouds,Benin Metropole Hotel
381,antalaha,MG,75.52,-14.9003,50.2788,broken clouds,Hotel Vitasoa
382,laguna,US,77.65,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
383,carutapera,BR,77.59,-1.195,-46.02,overcast clouds,Lidera
384,kieta,PG,81.14,-6.2167,155.6333,light rain,Uruna Bay Retreat
395,san policarpo,PH,79.21,12.1791,125.5072,overcast clouds,Agapita M. Nicart
396,kualakapuas,ID,75.36,-3.0091,114.3876,overcast clouds,Guest House Izonk
397,ouallam,NE,76.86,14.3188,2.0866,clear sky,
399,buala,SB,80.8,-8.145,159.5921,light rain,Maringe Lagoon Lodge
401,lorengau,PG,81.5,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
405,gizo,SB,82.89,-8.103,156.8419,light rain,Imagination Island
407,acari,PE,78.46,-15.4311,-74.6158,few clouds,HOSPEDAJE XIMENA
410,santa isabel do rio negro,BR,77.43,-0.4139,-65.0192,overcast clouds,Hotel GSA
415,thinadhoo,MV,81.9,0.5333,72.9333,scattered clouds,
417,vao,NC,81.03,-22.6667,167.4833,moderate rain,Hotel Kou-Bugny
418,pilar,BR,80.53,-9.5972,-35.9567,broken clouds,Pousada e churrascaria Manguaba
429,touros,BR,83.3,-5.1989,-35.4608,overcast clouds,INN NEW HORIZON
430,cockburn town,TC,77.72,21.4612,-71.1419,clear sky,Osprey Beach Hotel
438,gigmoto,PH,76.41,13.7796,124.39,overcast clouds,Cj's Travellers Inn
444,sao joao da barra,BR,75.29,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
446,lagunas,PE,78.3,-5.2269,-75.6753,light rain,Hospedaje Eco
447,sekoma,BW,75.04,-24.4,23.8833,scattered clouds,
453,torit,SS,83.89,4.4133,32.5678,overcast clouds,Diplomat Guest House
454,yulara,AU,75.04,-25.2406,130.9889,clear sky,Desert Gardens Hotel - Ayers Rock Resort
457,manoel urbano,BR,79.41,-8.8389,-69.2597,overcast clouds,Baixada Beira Rio
459,sena madureira,BR,83.03,-9.0656,-68.6569,overcast clouds,Hotel Central
463,tambopata,PE,87.64,-12.7333,-69.1833,overcast clouds,
465,arica,CL,76.55,-18.475,-70.3042,clear sky,Hostal Jardin Del Sol
471,ternate,ID,79.32,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
472,raga,SS,75.34,8.4596,25.678,broken clouds,
473,upington,ZA,85.37,-28.4478,21.2561,clear sky,River Place Manor
474,port hedland,AU,78.85,-20.3167,118.5667,few clouds,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
475,axim,GH,78.73,4.8699,-2.2405,clear sky,Axim Beach Resort And Spa
477,poso,ID,76.82,-1.3959,120.7524,overcast clouds,Hotel 77 Poso
481,veranopolis,BR,77.16,-28.9361,-51.5494,few clouds,Verona Parque Hotel
484,lazaro cardenas,MX,81.3,17.9583,-102.2,clear sky,Baymont by Wyndham Lazaro Cardenas
490,wagar,SD,78.67,16.1525,36.2032,few clouds,
500,cabedelo,BR,81.27,-6.9811,-34.8339,scattered clouds,Hotel Pigalle
504,dosso,NE,77.4,13.049,3.1937,clear sky,Hotel Toubal
509,iracoubo,GF,78.08,5.4802,-53.2011,scattered clouds,Le Gîte d’Iracoubo
511,kampot,KH,80.65,10.6167,104.1833,broken clouds,Two Moons Hotel
513,rosarito,MX,89.64,32.3333,-117.0333,clear sky,Hotel Festival Plaza Rosarito
515,varkkallai,IN,82.18,8.7341,76.7067,broken clouds,Hindustan Beach Retreat
517,cayenne,GF,77.04,4.9333,-52.3333,overcast clouds,Hôtel Le Dronmi
518,selma,US,76.03,36.5708,-119.6121,scattered clouds,"Holiday Inn Selma-Swancourt, an IHG Hotel"
519,playa del carmen,MX,80.94,20.6274,-87.0799,clear sky,Hotel Kinbe
534,ahome,MX,75.15,25.9167,-109.1833,scattered clouds,LA HOUSE DE LA ALEJANDRA
536,takoradi,GH,79.43,4.8845,-1.7554,clear sky,Raybow International Hotel
544,road town,VG,78.89,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
547,irara,BR,81.75,-12.05,-38.7667,broken clouds,Hotel Avenida
548,manuk mangkaw,PH,79.5,4.8,119.85,light rain,
552,nioki,CD,77.07,-2.7167,17.6833,broken clouds,
558,del rio,US,75.31,29.3627,-100.8968,clear sky,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
562,indramayu,ID,78.04,-6.3264,108.32,overcast clouds,Grand Trisula Hotel
566,pattaya,TH,85.95,12.9333,100.8833,broken clouds,Avani Pattaya Resort
567,christiana,ZA,75.04,-27.914,25.1611,clear sky,At-Neli Guesthouse
568,puerto leguizamo,CO,77.94,-0.1934,-74.7819,overcast clouds,la casona de juancho
574,makakilo city,US,79.29,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
577,kailua,US,80.74,21.4022,-157.7394,scattered clouds,Sheffield House Bed & Breakfast
580,anloga,GH,81.34,5.7947,0.8973,clear sky,Pin Drop Hotel
587,danao,PH,76.05,10.5208,124.0272,moderate rain,Danao Coco Palms Resort
594,piquete,BR,75.07,-22.6136,-45.1761,overcast clouds,Julimar Eventos - Antiga Fazenda Santa Lidia
596,samarai,PG,81.45,-10.6167,150.6667,overcast clouds,Nuli Sapi
597,basoko,CD,75.79,1.2391,23.616,overcast clouds,Jackyna Hotel
600,barra do corda,BR,77.68,-5.5,-45.25,broken clouds,Belchior Palace Hotel
604,lai,TD,77.72,9.3952,16.2989,few clouds,
606,coruripe,BR,80.64,-10.1256,-36.1756,broken clouds,Pousada e Hotel Litoral Sul
608,tutoia,BR,84.18,-2.7619,-42.2744,scattered clouds,Pousada Guará's
610,podor,MR,81.43,16.6527,-14.9587,few clouds,Auberge Du Tékrour
612,natal,BR,83.05,-5.795,-35.2094,few clouds,Villa Park Hotel | Natal
616,kapoeta,SS,85.3,4.7717,33.5903,scattered clouds,Eastgate Hotel
622,tual,ID,82.53,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
625,caarapo,BR,83.12,-22.6342,-54.8222,clear sky,Hotel Pousada Quinta do Sul
626,katherine,AU,75.52,-14.4667,132.2667,broken clouds,Pine Tree Motel
627,kalmunai,LK,75.74,7.4167,81.8167,overcast clouds,VS Villa
636,yambio,SS,77.58,4.5721,28.3955,broken clouds,Naivasha Hotel
639,rio verde de mato grosso,BR,83.23,-18.9181,-54.8442,overcast clouds,Quedas Palace Hotel
641,jega,NG,77.61,12.2175,4.3792,clear sky,ALH. Nasiru Ibrahim
644,padang,ID,75.31,-0.9492,100.3543,overcast clouds,Mercure Padang
649,camopi,GF,75.87,3.1655,-52.3158,overcast clouds,La pousada
653,maceio,BR,81.84,-9.6658,-35.7353,few clouds,Poutur Pousada
656,prado,BR,79.27,-17.3411,-39.2208,clear sky,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
658,cururupu,BR,76.55,-1.8283,-44.8683,broken clouds,POUSADA TRAVÉS'CIA
660,saint-georges,GD,78.76,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
667,harper,LR,79.5,4.375,-7.7169,overcast clouds,Screensaver
672,saint-louis,SN,80.6,16.3333,-15.0,scattered clouds,
